segment_id,direction_1,year,month,v,TTI
901268868,FALSE,2017,10,65.13,1.11
901268868,FALSE,2017,11,61.77,1.17
901268868,FALSE,2017,12,59.52,1.21
901268868,FALSE,2018,1,61.5,1.17
901268868,FALSE,2018,2,60.94,1.18
901268868,FALSE,2018,3,66.11,1.09
901268868,FALSE,2018,4,64.48,1.12
901268868,FALSE,2018,5,64.75,1.11
901268868,FALSE,2018,6,63.29,1.14
901268868,FALSE,2018,7,60.5,1.19
901268868,FALSE,2018,8,63.52,1.13
901268868,FALSE,2018,9,60.32,1.19
901268868,FALSE,2018,10,66.08,1.09
901268868,FALSE,2018,11,63.48,1.13
901268868,FALSE,2018,12,61.15,1.18
901268868,FALSE,2019,1,54.36,1.32
901268868,FALSE,2019,2,61.76,1.17
901268868,FALSE,2019,3,64.31,1.12
901268868,FALSE,2019,4,63.5,1.13
901268868,FALSE,2019,5,62.33,1.16
901268868,FALSE,2019,6,63.66,1.13
901268868,FALSE,2019,7,61.73,1.17
901268868,FALSE,2019,8,63.19,1.14
901268868,FALSE,2019,9,61.22,1.18
901268868,FALSE,2019,10,62.53,1.15
901268869,FALSE,2017,10,69.46,1.11
901268869,FALSE,2017,11,65.18,1.18
901268869,FALSE,2017,12,62.21,1.24
901268869,FALSE,2018,1,64.47,1.19
901268869,FALSE,2018,2,65.27,1.18
901268869,FALSE,2018,3,70.68,1.09
901268869,FALSE,2018,4,67.72,1.14
901268869,FALSE,2018,5,68.57,1.12
901268869,FALSE,2018,6,67.27,1.14
901268869,FALSE,2018,7,63.37,1.22
901268869,FALSE,2018,8,67.14,1.15
901268869,FALSE,2018,9,64.16,1.2
901268869,FALSE,2018,10,69.9,1.1
901268869,FALSE,2018,11,66.62,1.16
901268869,FALSE,2018,12,64.13,1.2
901268869,FALSE,2019,1,57.12,1.35
901268869,FALSE,2019,2,64.87,1.19
901268869,FALSE,2019,3,68.25,1.13
901268869,FALSE,2019,4,68.31,1.13
901268869,FALSE,2019,5,65.43,1.18
901268869,FALSE,2019,6,67.57,1.14
901268869,FALSE,2019,7,64.99,1.18
901268869,FALSE,2019,8,67.06,1.15
901268869,FALSE,2019,9,64.31,1.2
901268869,FALSE,2019,10,65.76,1.17
901268870,FALSE,2017,10,69.17,1.1
901268870,FALSE,2017,11,64.85,1.17
901268870,FALSE,2017,12,62.33,1.22
901268870,FALSE,2018,1,63.58,1.2
901268870,FALSE,2018,2,66.23,1.15
901268870,FALSE,2018,3,70.63,1.08
901268870,FALSE,2018,4,66.78,1.14
901268870,FALSE,2018,5,68.26,1.11
901268870,FALSE,2018,6,66.7,1.14
901268870,FALSE,2018,7,62.51,1.22
901268870,FALSE,2018,8,67.56,1.12
901268870,FALSE,2018,9,66.02,1.15
901268870,FALSE,2018,10,70.47,1.08
901268870,FALSE,2018,11,66.56,1.14
901268870,FALSE,2018,12,63.37,1.2
901268870,FALSE,2019,1,56.63,1.34
901268870,FALSE,2019,2,64.71,1.17
901268870,FALSE,2019,3,67.45,1.13
901268870,FALSE,2019,4,68.11,1.12
901268870,FALSE,2019,5,65.83,1.15
901268870,FALSE,2019,6,67.85,1.12
901268870,FALSE,2019,7,64.55,1.18
901268870,FALSE,2019,8,67.51,1.13
901268870,FALSE,2019,9,65.63,1.16
901268870,FALSE,2019,10,66.35,1.15
901268873,FALSE,2017,10,61.85,1.21
901268873,FALSE,2017,11,58.6,1.28
901268873,FALSE,2017,12,55.23,1.36
901268873,FALSE,2018,1,57.69,1.3
901268873,FALSE,2018,2,62.65,1.2
901268873,FALSE,2018,3,63.62,1.18
901268873,FALSE,2018,4,60.15,1.25
901268873,FALSE,2018,5,61.83,1.21
901268873,FALSE,2018,6,60.88,1.23
901268873,FALSE,2018,7,50.6,1.48
901268873,FALSE,2018,8,61.89,1.21
901268873,FALSE,2018,9,62.33,1.2
901268873,FALSE,2018,10,69.53,1.08
901268873,FALSE,2018,11,59.87,1.25
